id,title,description,location,salary,publication_date,expiration_date,recruiter_id,created_at,updated_at
"120","Développeur Backend","Expérience en Node.js, Java ou Python.","Paris","50000€","2025-03-30","2025-04-29",12,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"121","Ingénieur IA","Connaissance en Deep Learning et NLP.","Lyon","65000€","2025-03-30","2025-04-29",13,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"122","Développeur Blockchain","Maîtrise de Solidity et Ethereum.","Marseille","70000€","2025-03-30","2025-04-29",14,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"123","Administrateur Systèmes","Windows Server, Active Directory, Cloud.","Bordeaux","53000€","2025-03-30","2025-04-29",15,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"124","Consultant Cybersécurité","Gestion des risques et tests d’intrusion.","Toulouse","60000€","2025-03-30","2025-04-29",16,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"125","Responsable SEO","Expertise en référencement naturel.","Nice","45000€","2025-03-30","2025-04-29",17,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"126","Community Manager","Gestion des réseaux sociaux et stratégie digitale.","Nantes","38000€","2025-03-30","2025-04-29",18,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"127","Chef de projet Marketing","Stratégie et campagnes publicitaires.","Strasbourg","55000€","2025-03-30","2025-04-29",19,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"128","UX Designer","Expérience en design interfaces et ergonomie.","Remote","48000€","2025-03-30","2025-04-29",16,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"129","Analyste Financier","Évaluation des risques et gestion de portefeuille.","Lille","52000€","2025-03-30","2025-04-29",19,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"130","Contrôleur de Gestion","Analyse des coûts et suivi budgétaire.","Paris","57000€","2025-03-30","2025-04-29",19,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"131","Expert Comptable","Gestion fiscale et comptabilité analytique.","Lyon","60000€","2025-03-30","2025-04-29",17,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"132","Infirmier(ère) Diplômé(e) d’État","Soins et suivi des patients.","Marseille","45000€","2025-03-30","2025-04-29",17,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"14","Développeur Fullstack Senior","Recherche un développeur Fullstack avec 5+ ans d'expérience en React et Node.js. Maîtrise de TypeScript et GraphQL requise.","Rabat","65000€","2025-03-27","2025-04-26",9,"Thu Mar 27 2025 11:25:28 GMT+0000 (UTC)","Thu Mar 27 2025 11:25:28 GMT+0000 (UTC)"
"15","Data Engineer","Poste en équipe data pour construire des pipelines ETL avec Python, Spark et Airflow. Expérience cloud (AWS/GCP) appréciée.","fes","58000€","2025-03-27","2025-04-26",9,"Thu Mar 27 2025 11:25:28 GMT+0000 (UTC)","Thu Mar 27 2025 11:25:28 GMT+0000 (UTC)"
"16","Ingénieur DevOps","Mise en place d'infrastructure Kubernetes et CI/CD. Compétences en Terraform et monitoring (Prometheus/Grafana) nécessaires.","Casablanca","62000€","2025-03-27","2025-04-26",9,"Thu Mar 27 2025 11:25:28 GMT+0000 (UTC)","Thu Mar 27 2025 11:25:28 GMT+0000 (UTC)"
"17","Responsable SEO","Gestion de la stratégie SEO et analyse des performances avec Google Search Console. Connaissances en Python pour le scraping un plus.","Tanger","48000€","2025-03-27","2025-04-26",10,"Thu Mar 27 2025 11:29:08 GMT+0000 (UTC)","Thu Mar 27 2025 11:29:08 GMT+0000 (UTC)"
"18","Community Manager","Animation des réseaux sociaux (Instagram/TikTok) et création de contenu. Expérience dans le secteur de la mode requise.","Marakech","35000€","2025-03-27","2025-04-26",10,"Thu Mar 27 2025 11:29:08 GMT+0000 (UTC)","Thu Mar 27 2025 11:29:08 GMT+0000 (UTC)"
"19","UX Researcher","Conduite d'études utilisateurs et tests d'ergonomie. Maîtrise de Figma et Hotjar. Portfolio exigé.","fes","45000€","2025-03-27","2025-04-26",11,"Thu Mar 27 2025 11:30:13 GMT+0000 (UTC)","Thu Mar 27 2025 11:30:13 GMT+0000 (UTC)"
"20","UI Designer","Création de design systems et prototypes haute fidélité. Compétences en animation (After Effects) un plus.","rabat","42000€","2025-03-27","2025-04-26",11,"Thu Mar 27 2025 11:30:13 GMT+0000 (UTC)","Thu Mar 27 2025 11:30:13 GMT+0000 (UTC)"
"21","Scrum Master","Accompagnement d'équipes Agile (SAFe/LeSS). Certification Scrum obligatoire.","Nants","55000€","2025-03-27","2025-04-26",12,"Thu Mar 27 2025 11:32:51 GMT+0000 (UTC)","Thu Mar 27 2025 11:32:51 GMT+0000 (UTC)"
"22","Business Developer","Prospection B2B dans le secteur SaaS. Anglais courant exigé.","Paris","50000€","2025-03-27","2025-04-26",12,"Thu Mar 27 2025 11:32:51 GMT+0000 (UTC)","Thu Mar 27 2025 11:32:51 GMT+0000 (UTC)"
"23","Data Scientist","Recherche un Data Scientist expérimenté en Python et Machine Learning. SQL requis.","Paris","50000€","2025-03-27","2025-04-26",13,"Thu Mar 27 2025 11:33:40 GMT+0000 (UTC)","Thu Mar 27 2025 11:33:40 GMT+0000 (UTC)"
"24","Développeur Fullstack","Poste pour un dev Fullstack maîtrisant React et Node.js. Connaissances en MongoDB appréciées.","Remote","45000€","2025-03-27","2025-04-26",13,"Thu Mar 27 2025 11:33:40 GMT+0000 (UTC)","Thu Mar 27 2025 11:33:40 GMT+0000 (UTC)"
"25","Expert SEO","Profil SEO avec expérience en Google Ads et analyse de trafic. Connaissance de Python un plus.","Lyon","40000€","2025-03-27","2025-04-26",13,"Thu Mar 27 2025 11:33:40 GMT+0000 (UTC)","Thu Mar 27 2025 11:33:40 GMT+0000 (UTC)"
"26","Ingénieur Java","Développeur Java/Spring pour architecture microservices. Expérience en cloud AWS nécessaire.","Toulouse","55000€","2025-03-27","2025-04-26",13,"Thu Mar 27 2025 11:33:40 GMT+0000 (UTC)","Thu Mar 27 2025 11:33:40 GMT+0000 (UTC)"
"27","DevOps Engineer","Recherche un DevOps avec expérience en Docker, Kubernetes et CI/CD. Bash/Python requis.","Paris","60000€","2025-03-27","2025-04-26",14,"Thu Mar 27 2025 11:33:40 GMT+0000 (UTC)","Thu Mar 27 2025 11:33:40 GMT+0000 (UTC)"
"28","UX Designer","Profil créatif maîtrisant Figma et Adobe XD. Connaissances en HTML/CSS un plus.","Remote","38000€","2025-03-27","2025-04-26",14,"Thu Mar 27 2025 11:33:40 GMT+0000 (UTC)","Thu Mar 27 2025 11:33:40 GMT+0000 (UTC)"
"133","Médecin Généraliste","Consultations et suivi médical.","Bordeaux","80000€","2025-03-30","2025-04-29",16,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"134","Pharmacien","Gestion de pharmacie et conseil médical.","Toulouse","55000€","2025-03-30","2025-04-29",15,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"135","Ingénieur Mécanique","Conception et simulation mécanique.","Nice","58000€","2025-03-30","2025-04-29",15,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"136","Technicien en Robotique","Programmation et maintenance de robots.","Nantes","47000€","2025-03-30","2025-04-29",15,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"33","Architecte Cloud","Expertise en AWS, Azure ou GCP. Expérience en conception d’architecture cloud.","Paris","70000€","2025-03-30","2025-04-29",11,"Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)","Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)"
"34","Développeur Backend","Maîtrise de Node.js et Express. Expérience avec MongoDB et PostgreSQL requise.","Lille","48000€","2025-03-30","2025-04-29",12,"Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)","Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)"
"35","Spécialiste Cybersécurité","Expérience en pentesting, audits de sécurité et normes ISO 27001.","Marseille","65000€","2025-03-30","2025-04-29",13,"Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)","Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)"
"36","Data Engineer","Expertise en Big Data, Spark, Hadoop et bases de données NoSQL.","Lyon","60000€","2025-03-30","2025-04-29",11,"Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)","Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)"
"37","Consultant BI","Expérience en Power BI, Tableau et SQL Server. Connaissance en ETL requise.","Nice","50000€","2025-03-30","2025-04-29",11,"Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)","Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)"
"38","Ingénieur IA","Maîtrise des réseaux neuronaux et frameworks TensorFlow/PyTorch.","Remote","65000€","2025-03-30","2025-04-29",12,"Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)","Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)"
"137","Ingénieur Énergie","Optimisation et gestion des ressources énergétiques.","Strasbourg","62000€","2025-03-30","2025-04-29",16,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"138","Responsable Supply Chain","Gestion des flux logistiques.","Remote","53000€","2025-03-30","2025-04-29",16,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"139","Agent de Transit","Coordination des opérations export.","Lille","42000€","2025-03-30","2025-04-29",16,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
